Rank,Player,Team,Position,Hit/FB,Power/CB,Run/CH,Arm/SL ,Field/Control,Overall,FG WAR First 7,Contract $ over Minimum
11,Carson Smith,SEA,RHP,60,,45,50,45,45,2.5,
12,Dominic Leone,SEA,RHP,65,,40,50,40,45,2.1,3
13,Austin WIlson,SEA,OF,45,50,50,60,50,50,0,
14,Danny Hultzen,SEA,LHP,55,,55,50,50,45,0.1,
15,Stefen Romero,SEA,3B,45,50,40,50,40,45,-1.3,
16,Ketel Marte,SEA,SS,45,30,65,50,55,45,15.2,22
17,Julio Morban,SEA,OF,50,45,40,50,45,45,0,
18,Abraham Almonte,SEA,OF,45,40,60,50,55,45,1.1,1
19,Patrick Kivlehan,SEA,OF,45,50,50,45,45,50,0,
20,Tyler O’Neill,SEA,OF,50,45,45,50,45,45,9.5,7
3,Adalberto Mejia,SFG,LHP,60,,50,50,55,50,1.2,
4,Andrew Susac,SFG,C,45,55,30,55,55,50,0.3,
5,Christian Arroyo,SFG,3B,55,45,50,55,45,45,0.3,3
6,Ty Blach,SFG,LHP,55,,55,50,60,50,2.6,0.5
7,Chris Stratton,SFG,RHP,55,45,45,55,50,45,4.8,4.5
8,Clayton Blackburn,SFG,RHP,50,55,50,,55,45,0,
9,Mac Williamson,SFG,OF,45,55,45,60,50,45,-0.7,
10,Derek Law ,SFG,RHP,55,60,,50,65,45,1.1,0.5
11,Heath Hembree,SFG,RHP,65,,,55,50,45,-0.3,2.5
12,Joan Gregorio,SFG,RHP,60,,45,50,45,45,0,
13,Martin Agosta,SFG,RHP,60,,40,55,40,45,0,
14,Joe Panik,SFG,SS,,,,,,,9.5,8.5
15,Ryder Jones,SFG,3B,50,50,40,60,50,45,-0.7,
16,Gary Brown,SFG,OF,40,40,70,50,55,45,0.2,
17,Mike Kickham,SFG,LHP,55,,45,50,40,45,-1.1,
18,Josh Osich,SFG,LHP,70,,40,55,45,45,-2.4,
19,Keury Mella,SFG,RHP,60,55,40,,55,50,-0.4,
20,Kendra Flores,SFG,RHP,55,50,50,50,60,45,0.2,
4,Rob Kaminsky,STL,LHP,60,60,55,,50,55,0,
5,Marco Gonzales,STL,LHP,50,50,60,45,60,55,9.6,28
6,Alex Reyes,STL,RHP,65,60,50,,45,55,1.7,2.5
7,James Ramsey,STL,OF,55,45,60,50,55,50,0,
8,Carson Kelly,STL,C,40,50,30,60,45,50,3.6,7.5
9,Patrick Wisdom,STL,3B,40,50,40,70,60,45,4.2,
