Rank,Player,Team,Position,Hit/FB,Power/CB,Run/CH,Arm/SL ,Field/Control,Overall,FG WAR First 7,Contract $ over Minimum
13,Sam Selman,KCR,LHP,60,,40,50,40,45,-0.3,
14,Donnie Joseph,KCR,LHP,55,,,65,40,45,0,
15,Cody Reed,KCR,LHP,,,,,,,-0.1,
16,Christian Colon,KCR,2B,50,35,40,45,50,45,0.5,
17,Zane Evans,KCR,C,50,50,30,60,45,45,0,
18,Chris Dwyer,KCR,LHP,45,50,50,,40,45,0,
19,Humberto Arteaga,KCR,SS,40,30,40,55,55,45,-0.9,
20,Cheslor Curthbert,KCR,3B,40,45,30,60,50,45,-0.8,
1,Kaleb Cowart,LAA,INF,40,50,40,60,55,45,-1.5,
2,Taylor Lindsey ,LAA,2B,50,45,40,45,50,50,0,
3,CJ Cron,LAA,1B,55,60,20,50,40,50,5.8,11.5
4,Mark Sappington,LAA,RHP,70,,45,50,40,45,0,
5,Hunter Green,LAA,LHP,60,55,45,,45,45,0,
6,Jose Rondon,LAA,SS,55,30,55,55,50,50,-0.9,
7,RJ Alvarez,LAA,RHP,70,,40,55,45,45,-0.7,
8,Ricardo Sanchez,LAA,LHP,55,50,45,,45,45,-0.1,
9,Alex Yarbrough,LAA,2B,55,35,45,40,45,45,0,
10,Mike Morin,LAA,RHP,50,,50,40,55,45,2.2,
11,Zach Borenstein,LAA,OF,45,55,40,40,50,45,0,
12,Mike Clevinger,LAA,RHP,50,50,55,55,45,45,12.1,13
13,Nick Maronde,LAA,LHP,60,,40,50,40,45,-0.3,
14,Cam Bedrosian,LAA,RHP,60,,40,50,45,45,2.6,4
15,Natanael Delgado,LAA,OF ,45,50,40,50,50,45,0,
16,Eric Stamets,LAA,SS,45,20,70,60,55,45,-0.6,
17,Jose Alvarez,LAA,LHP ,45,40,55,45,55,45,3.0,4
18,Ryan Brasier,LAA,RHP,70,,40,45,45,45,3.1,3
19,Victor Alcantara,LAA,RHP,70,,40,45,40,45,-0.4,
20,Mike Fish,LAA,OF,55,40,50,45,50,45,0,
4,Zach Lee,LAD,RHP,55,40,55,50,55,50,-0.1,
5,Chris Anderson,LAD,RHP,65,45,50,55,45,50,0,
6,Chris Reed,LAD,LHP,50,,50,50,45,50,0,
7,Tom Windle,LAD,LHP,55,,40,60,50,50,0,
8,Onelki Garcia,LAD,LHP,60,60,40,,40,45,-0.3,
9,Ross Stripling,LAD,RHP,55,55,45,50,55,45,8.7,7
10,Pedro Baez,LAD,RHP,65,,45,50,45,45,3.8,5.5
11,Jose Dominguez,LAD,RHP,80,,,45,40,45,-0.5,
12,Matt Magill,LAD,RHP,60,,40,50,45,45,-0.7,
13,Zack Bird,LAD,RHP,60,50,45,45,40,45,0,
14,Jacob Scavuzzo,LAD,OF ,45,55,60,45,50,45,0,
15,Scott Schebler,LAD,OF,50,50,55,45,50,50,3.0,0.5
16,Yimi Garcia,LAD,RHP,60,,45,45,50,45,1.2,2
17,Cody Bellinger,LAD,1B,55,45,50,50,60,45,21.6,60
18,Victor Gonzalez,LAD,LHP,55,40,50,,45,45,1.1,
19,Darnell Sweeney,LAD,OF,50,40,60,55,50,45,-0.4,
20,Kyle Farmer,LAD,3B,45,40,40,60,45,45,5.4,7.5
5,Adam Conley,MIA,LHP,65,,60,50,50,50,2.6,1.5
6,Anthony DeSclafani,MIA,RHP,60,,45,55,55,50,8.6,7
7,Brian Flynn,MIA,LHP,50,40,50,50,50,45,0.2,
8,Jose Urena,MIA,RHP,65,,50,45,55,45,3,8.5
9,JT Realmuto,MIA,C,50,40,35,55,55,50,18.7,16.5
10,Trevor Williams,MIA,RHP,55,,50,50,60,50,7.4,7.5
11,Avery Romero,MIA,2B,55,45,40,60,50,50,0,
12,Colby Suggs,MIA,RHP,70,55,40,,45,45,0,
13,Nick Wittgren,MIA,RHP,60,55,40,,60,45,1.3,3
14,Sam Dyson,MIA,RHP,60,,50,45,50,45,3.0,11.5
15,Jesus Solorzano,MIA,OF,50,50,55,50,50,50,0,
16,Angel Sanchez,MIA,RHP,60,,50,50,45,45,-0.3,
17,Austin Barnes,MIA,C,50,30,40,50,50,45,8.4,4
18,Brent Keys,MIA,OF,55,25,60,50,55,45,0,
19,Austin Bryce,MIA,RHP,60,45,40,40,45,45,-0.7,
20,Austin Dean,MIA,OF,45,45,50,50,50,45,-0.6,
2,Tyrone Taylor,MIL,OF,55,40,60,50,55,50,4.7,
3,Devin Williams,MIL,RHP,60,,50,45,45,50,6.8,2.5
4,Orlando Arcia,MIL,SS,45,30,34,60,55,50,2.2,3
5,Mitch Haniger,MIL,OF,45,50,45,60,50,45,11.6,12
6,Nicky Delmonico,MIL,3B,45,50,30,50,50,45,0.0,
7,Johnny Hellweg,MIL,RHP,70,,50,40,35,45,-0.8,
8,Victor Roache,MIL,OF,40,60,40,50,50,45,0,
9,Taylor Jungmann,MIL,RHP,50,,45,50,45,45,1.3,
10,Hunter Morris,MIL,1B,40,55,30,45,40,45,0,
11,Wei-Chung Wang,MIL,LHP,60,45,45,,50,45,0,
12,Clint Coulter,MIL,OF,40,50,30,60,40,45,0,
13,Tucker Neuhaus,MIL,3B,45,55,30,60,55,45,0,
14,David Goforth,MIL,RHP,70,45,45,,45,45,-0.1,
15,Michael Reed,MIL,OF,50,40,55,60,50,45,-0.2,
16,Taylor Williams,MIL,RHP,50,40,55,60,50,45,0.5,
17,Drew Gagnon,MIL,RHP,50,45,50,,45,45,-1.2,
18,Ariel Pena,MIL,RHP,56,,50,50,40,45,0.2,
19,Michael Blazek,MIL,RHP,65,,45,55,40,45,-0.8,
20,Jorge Lopez,MIL,RHP,60,50,45,,45,45,1.2,4
6,Lewis Thorpe,MIN,LHP,60,50,55,45,55,50,0.4,
7,Eddie Rosario,MIN,OF,60,40,50,50,45,50,12.3,18
8,Jorge Polanco,MIN,2B,55,50,50,50,50,50,12.2,22
9,Josmil Pinto,MIN,C,55,45,20,55,45,50,-0.2,
10,Felix Jorge,MIN,RHP,60,50,45,,50,50,-0.3,
11,Danny Santana,MIN,SS,50,35,60,70,60,50,3.7,4.5
12,Travis Harrison,MIN,OF,50,50,30,50,40,45,0,
13,Trevor May,MIN,RHP,60,50,55,45,45,50,4.9,2
14,Adam Brett Walker,MIN,OF,45,65,45,50,40,45,0,
15,Max Kepler,MIN,OF,50,45,50,45,50,45,14.3,17
16,Fernando Romero,MIN,RHP,65,55,45,,50,45,0.6,
17,Kennys Vargas,MIN,1B,50,60,20,45,40,50,0.9,
18,Stephen Gonsalves,MIN,LHP,55,50,50,,55,45,-0.1,
19,Luke Bard,MIN,RHP,65,,50,50,45,45,-0.1,
20,Mason Melotakis,MIN,LHP,55,,45,50,45,45,0,
4,Dominic Smith,NYM,1B,50,50,40,50,60,50,-0.2,5
5,Wilmer Flores,NYM,2B,60,55,20,55,40,50,6.2,4.5
6,Amed Rosario,NYM,SS,45,50,60,65,55,50,7.6,12.5
7,Brandon Nimmo,NYM,OF,55,50,50,50,50,55,17.8,12
8,Kevin Plawecki,NYM,C,55,45,35,50,50,55,2.2,3.5
9,Cesar Puello,NYM,OF,55,55,50,60,50,45,1.0,
10,Gavin Cecchini,NYM,2B,50,30,50,55,55,50,-0.4,
11,Dilson Herrera,NYM,2B,50,45,60,50,55,50,0.5,
12,Steven Matz,NYM,LHP,60,50,55,,50,50,7.8,11
13,Cory Mazzoni,NYM,RHP,60,,45,50,55,45,-0.5,
14,Jacob DeGrom,NYM,RHP,60,,45,50,50,45,34,26
15,Domingo Tapia,NYM,RHP,70,,50,55,40,45,0.3,
16,Gabriel Ynoa,NYM,RHP,60,40,50,45,60,45,0.5,
17,Michael Fulmer,NYM,RHP,60,,45,50,45,45,10.1,11
18,Jayce Boyd,NYM,1B,,,,,,,0,
19,Jeurys Familia,NYM,RHP,70,,45,55,40,45,6.3,17.5
20,Vic Black,NYM,RHP,,,,,,,0.2,
3,Slade Heathcott,NYY,OF,50,50,60,60,60,45,0.5,
4,John Ryan Murphy,NYY,C,45,45,20,55,50,50,1.7,0.5
5,Eric Jagielo,NYY,3B,50,60,35,55,45,50,0,
6,Tyler Austin,NYY,1B,50,45,45,55,50,45,0.6,
